State,City by state,Population,Crime Index  ,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,
,East Norriton Township,"13,269",257,257,1,1,4,4,21,212,14,0,,,,,
,Easton,"26,378","1,193","1,204",1,21,52,143,158,753,65,11,,,,,
,East Pennsboro Township,"18,335",407,411,0,4,18,10,60,296,19,4,,,,,
,Easttown Township,"10,315",135,135,0,1,3,14,26,79,12,0,,,,,
,Elizabeth Township,"13,900",157,157,0,0,0,21,37,85,14,0,,,,,
,Emmaus,"11,362",321,325,1,3,2,20,39,252,4,4,,,,,
,Ephrata,"13,271",278,280,0,3,2,23,39,195,16,2,,,,,
,Erie,"104,173","3,560","3,601",4,71,196,179,702,"2,241",167,41,,,,,
,Exeter Township (Berks County),"23,074",551,554,0,2,9,24,56,429,31,3,,,,,
,Fairview Township (York County),"14,384",418,420,1,6,4,32,45,318,12,2,,,,,
,Falls Township (Bucks County),"35,019","1,186","1,189",0,5,29,20,119,849,164,3,,,,,
,Ferguson Township,"14,125",208,208,0,1,0,8,22,168,9,0,,,,,
,Franconia Township,"11,574",69,69,0,2,0,11,9,40,7,0,,,,,
,Franklin Park,"11,414",88,89,0,0,1,4,7,66,10,1,,,,,
,Greensburg,"15,959",516,519,0,2,7,25,58,392,32,3,,,,,
,Hampden Township,"24,241",361,362,0,0,8,6,49,281,17,1,,,,,
,Hampton Township,"17,603",238,238,0,1,3,13,25,189,7,0,,,,,
,Hanover,"14,599",550,566,0,7,7,16,62,444,14,16,,,,,
,Hanover Township (Luzerne County),"11,539",407,408,0,2,12,32,61,282,18,1,,,,,
,Harrisburg,"49,165","2,928","2,957",12,40,345,273,577,"1,575",106,29,,,,,
,Harrison Township,"10,982",343,343,0,0,4,7,40,278,14,0,,,,,
,Hatfield Township,"19,403",352,358,0,0,5,8,27,284,28,6,,,,,
,Haverford Township,"48,711",689,689,0,1,15,12,71,550,40,0,,,,,
,Hazleton,"23,432",540,544,0,5,20,27,97,319,72,4,,,,,
,Hermitage,"16,228",596,598,0,0,6,20,51,505,14,2,,,,,
,Hilltown Township,"12,156",223,223,0,2,4,18,26,158,15,0,,,,,
,Horsham Township,"24,339",272,276,1,1,5,3,33,199,30,4,,,,,
,Indiana,"14,961",356,356,0,11,9,24,45,258,9,0,,,,,
,Johnstown,"28,714","1,207","1,221",2,5,55,87,326,660,72,14,,,,,
,Kingston,"13,916",643,643,0,2,13,63,91,439,35,0,,,,,
,Lancaster,"56,596","3,725","3,773",4,43,239,191,613,"2,294",341,48,,,,,
,Lancaster Township (Lancaster County),"14,005",624,630,0,5,26,13,134,409,37,6,,,,,
,Lansdale,"16,142",333,338,0,3,10,18,33,258,11,5,,,,,
,Lansdowne,"11,093",281,283,0,3,10,50,37,162,19,2,,,,,
,Lebanon,"24,569","1,275","1,282",1,16,59,88,186,843,82,7,,,,,
,Limerick Township,"13,593",274,274,0,4,1,6,47,202,14,0,,,,,
,Logan Township,"11,977",317,318,0,1,13,11,98,184,10,1,,,,,
,Lower Allen Township,"17,513",318,319,0,1,8,5,49,249,6,1,,,,,
,Lower Burrell,"12,664",194,194,1,2,8,11,23,134,15,0,,,,,
,Lower Gwynedd Township,"10,468",157,163,0,0,1,9,16,121,10,6,,,,,
,Lower Makefield Township,"32,825",442,442,0,1,3,2,98,314,24,0,,,,,
,Lower Merion Township,"60,113",942,943,5,0,32,15,145,678,67,1,,,,,
,Lower Moreland Township,"11,330",238,240,0,3,1,18,52,153,11,2,,,,,
,Lower Paxton Township,"44,620","1,107","1,121",1,11,34,23,131,858,49,14,,,,,
,Lower Pottsgrove Township,"11,262",225,226,0,1,3,9,31,164,17,1,,,,,
,Lower Providence Township,"22,488",314,316,1,3,5,5,39,231,30,2,,,,,
,Lower Salford Township,"12,950",65,65,0,2,1,4,9,46,3,0,,,,,
,Lower Southampton Township,"19,361",386,388,0,1,4,19,32,301,29,2,,,,,
,Manheim Township,"33,846","1,088","1,093",2,1,15,20,191,805,54,5,,,,,
,Marple Township,"23,842",338,342,0,0,2,16,36,268,16,4,,,,,
,McCandless,"29,150",384,388,0,0,4,8,40,323,9,4,,,,,
,McKeesport,"24,146","1,239","1,241",2,11,57,250,275,574,70,2,,,,,
,Meadville,"13,746",401,408,0,7,15,20,64,277,18,7,,,,,
,Middletown Township,"44,335","1,502","1,520",1,10,20,53,175,"1,141",102,18,,,,,
,Millcreek Township,"52,359","1,021","1,021",2,6,18,31,225,695,44,0,,,,,
,Monroeville,"29,478",951,965,0,4,23,67,78,656,123,14,,,,,
,Montgomery Township,"22,122",557,559,0,0,10,5,30,494,18,2,,,,,
,Moon Township,"22,388",419,419,1,2,6,11,55,323,21,0,,,,,
,Mount Lebanon,"33,162",355,356,1,0,3,33,71,237,10,1,,,,,
,Muhlenberg Township,"16,376",658,667,1,1,17,8,55,519,57,9,,,,,
,Munhall,"12,318",165,165,0,0,3,1,35,106,20,0,,,,,
,Murrysville,"18,955",257,258,1,2,6,2,55,175,16,1,,,,,
,Nanticoke,"11,004",302,302,0,5,9,5,44,225,14,0,,,,,
,Nether Providence Township,"13,515",160,161,0,0,2,19,23,109,7,1,,,,,
,Newberry Township,"14,395",291,291,1,3,1,0,54,198,34,0,,,,,
,New Britain Township,"10,745",149,149,0,2,1,6,12,126,2,0,,,,,
,New Castle,"26,425","1,398","1,419",2,12,82,117,357,747,81,21,,,,,
,New Kensington,"14,765",585,588,1,5,21,45,101,350,62,3,,,,,
,Newtown Township (Bucks County),"18,286",244,245,0,0,2,29,10,196,7,1,,,,,
,Newtown Township (Delaware County),"11,751",161,162,0,0,1,10,23,124,3,1,,,,,
,Norristown,"31,419","1,851","1,865",5,27,167,176,389,864,223,14,,,,,
,Northampton Township,"39,558",326,326,1,3,1,10,41,261,9,0,,,,,
,Northern York Regional,"49,951","1,065","1,071",2,4,19,13,133,842,52,6,,,,,
,North Fayette Township,"12,308",412,413,0,0,3,6,28,359,16,1,,,,,
,North Huntingdon Township,"29,251",332,333,0,1,4,15,70,211,31,1,,,,,
,North Lebanon Township,"10,676",441,441,0,6,3,21,24,369,18,0,,,,,
,North Middleton Township,"10,242",81,82,1,1,3,1,12,57,6,1,,,,,
,North Strabane Township,"10,101",227,227,0,1,1,20,30,163,12,0,,,,,
,North Versailles Township,"11,174",351,351,1,2,13,41,26,245,23,0,,,,,
,Oil City,"11,555",365,368,0,5,3,15,33,295,14,3,,,,,
,Patton Township,"11,471",220,226,0,4,3,0,24,183,6,6,,,,,
,Penn Hills,"47,015","1,353","1,359",5,17,53,73,277,790,138,6,,,,,
,Penn Township (Westmoreland County),"19,677",52,52,0,0,1,8,12,31,0,0,,,,,
,Penn Township (York County),"14,656",220,223,0,0,3,16,24,164,13,3,,,,,
,Peters Township,"17,644",223,228,1,3,5,12,34,162,6,5,,,,,
,Philadelphia,"1,524,226","83,392",,288,"1,035","8,869","9,865","11,244","38,789","13,302",,,,,,
,Phoenixville,"14,854",520,521,0,2,9,31,39,426,13,1,,,,,
,Pine-Marshall-Bradford Woods,"14,894",338,338,0,1,0,12,33,281,11,0,,,,,
,Pittsburgh,"342,529","19,737","19,851",47,148,"1,616","1,983","3,298","10,108","2,537",114,,,,,
,Plains Township,"10,954",347,347,3,6,6,44,45,221,22,0,,,,,
,Plumstead Township,"11,459",198,200,0,2,1,2,29,148,16,2,,,,,
,Plymouth Township (Montgomery County),"16,116",766,771,0,4,18,37,86,557,64,5,,,,,
,Pocono Mountain Regional,"29,210",813,821,0,11,11,22,276,431,62,8,,,,,
,Pottstown,"21,955","1,336","1,347",1,13,60,125,185,865,87,11,,,,,
,Pottsville,"15,617",376,378,1,6,8,40,34,253,34,2,,,,,
,Radnor Township,"31,013",488,494,0,1,8,12,68,379,20,6,,,,,
,Reading,"81,565","6,218","6,289",19,55,510,503,"1,503","2,802",826,71,,,,,
,Richland Township (Cambria County),"12,654",330,331,0,3,7,48,34,225,13,1,,,,,
,Ridley Township,"30,926",644,644,1,5,18,65,62,429,64,0,,,,,
,Robinson Township (Allegheny County),"12,343",463,463,0,2,9,5,42,384,21,0,,,,,
,Ross Township,"32,694",912,915,0,0,10,23,70,760,49,3,,,,,
,Salisbury Township,"13,557",392,394,0,1,3,33,28,301,26,2,,,,,
,Sandy Township,"11,607",185,186,0,0,0,27,21,127,10,1,,,,,
,Scranton,"76,751","2,549","2,549",1,39,92,90,503,"1,636",188,0,,,,,
,Shaler Township,"29,888",424,424,0,1,9,18,46,319,31,0,,,,,
,Sharon,"16,400",791,792,0,8,24,126,148,448,37,1,,,,,
,Silver Spring Township,"10,639",254,256,0,1,2,1,17,222,11,2,,,,,
,South Fayette Township,"12,325",115,117,0,1,1,11,22,72,8,2,,,,,
,South Park Township,"14,403",54,55,0,2,1,2,18,26,5,1,,,,,
,South Whitehall Township,"18,107",623,624,0,0,5,15,58,523,22,1,,,,,
,Springettsbury Township,"23,988","1,088","1,088",0,2,13,6,82,953,32,0,,,,,
,Springfield Township (Delaware County),"23,782",751,751,1,2,9,38,60,568,73,0,,,,,
,Springfield Township (Montgomery County),"19,619",207,209,2,0,8,7,24,153,13,2,,,,,
,Spring Garden Township,"12,026",379,382,0,1,15,5,39,303,16,3,,,,,
,Spring Township (Berks County),"21,901",250,253,0,1,5,7,32,185,20,3,,,,,
,State College,"51,792",925,931,2,7,10,26,87,777,16,6,,,,,
,St. Marys City,"14,566",319,319,0,1,1,17,44,239,17,0,,,,,
,Stroud Area Regional,"29,752",917,917,3,6,21,15,108,714,50,0,,,,,
,Sunbury,"10,657",549,555,0,11,2,87,70,361,18,6,,,,,
,Susquehanna Township (Dauphin County),"21,991",702,717,0,7,25,5,83,562,20,15,,,,,
,Towamencin Township,"17,675",198,205,0,1,2,12,20,154,9,7,,,,,
,Tredyffrin Township,"29,190",696,699,1,4,5,24,59,588,15,3,,,,,
,Uniontown,"12,476",663,675,1,3,37,33,110,417,62,12,,,,,
,Upper Allen Township,"15,406",192,194,0,2,3,4,41,135,7,2,,,,,
,Upper Chichester Township,"16,916",597,601,0,6,22,27,59,415,68,4,,,,,
,Upper Darby Township,"82,181","1,542","1,542",4,7,91,65,139,"1,030",206,0,,,,,
,Upper Dublin Township,"25,991",302,302,0,2,3,18,41,225,13,0,,,,,
,Upper Gwynedd Township,"14,306",193,197,0,0,3,8,23,150,9,4,,,,,
,Upper Merion Township,"26,981","1,443","1,444",0,2,19,16,79,"1,238",89,1,,,,,
,Upper Moreland Township,"25,103",395,402,1,3,6,15,42,306,22,7,,,,,
,Upper Providence Township (Delaware County),"10,555",58,58,0,2,0,4,17,31,4,0,,,,,
,Upper Providence Township (Montgomery County),"15,466",186,186,0,0,0,5,30,137,14,0,,,,,
,Upper Saucon Township,"11,991",112,115,0,1,0,5,17,83,6,3,,,,,
,Upper Southampton Township,"15,833",223,223,0,1,1,21,26,159,15,0,,,,,
,Upper St. Clair Township,"20,141",103,104,0,0,3,2,14,79,5,1,,,,,
,Uwchlan Township,"16,649",287,287,0,4,5,24,49,188,17,0,,,,,
,Warminster Township,"31,521",613,621,1,4,20,24,58,467,39,8,,,,,
,Warren,"10,304",152,153,0,1,0,7,38,103,3,1,,,,,
,Warrington Township,"17,658",269,273,0,3,3,21,33,198,11,4,,,,,
,Warwick Township (Bucks County),"12,030",120,122,0,1,0,1,21,94,3,2,,,,,
,Warwick Township (Lancaster County),"15,543",83,83,0,0,0,1,12,64,6,0,,,,,
,Washington Township (Franklin County),"11,610",204,204,0,3,4,13,28,144,12,0,,,,,
,West Chester,"17,940",678,681,0,12,43,46,120,388,69,3,,,,,
,West Goshen Township,"20,585",565,566,0,3,6,24,48,466,18,1,,,,,
,West Hempfield Township,"15,194",355,356,0,1,1,4,53,275,21,1,,,,,
,West Lampeter Township,"13,203",196,196,0,0,2,3,27,153,11,0,,,,,
,West Manchester Township,"17,110",797,797,0,5,20,18,75,651,28,0,,,,,
,West Norriton Township,"14,967",328,328,0,2,3,33,46,228,16,0,,,,,
,Westtown-East Goshen Township,"13,088",381,382,0,2,1,39,73,250,16,1,,,,,
,West Whiteland Township,"16,572",585,587,0,1,5,6,49,506,18,2,,,,,
,Whitehall,"14,508",57,57,0,2,2,4,9,33,7,0,,,,,
,Whitehall Township,"25,006","1,118","1,137",0,2,18,33,109,886,70,19,,,,,
,Whitpain Township,"18,643",232,232,0,2,2,6,40,169,13,0,,,,,
,Wilkes-Barre,"43,312","2,329","2,343",3,15,113,121,378,"1,485",214,14,,,,,
,Wilkinsburg,"19,280",909,916,1,12,81,97,239,293,186,7,,,,,
,Williamsport,"30,841","1,473","1,478",1,10,66,51,221,"1,061",63,5,,,,,
,Yeadon,"11,814",342,349,0,5,16,35,45,183,58,7,,,,,
,York Area Regional,"44,731",819,820,1,5,14,49,148,578,24,1,,,,,
RHODE ISLAND,Barrington,"17,162",369,385,0,4,2,5,86,268,4,16,,,,,
,Bristol,"22,928",440,444,0,2,1,24,38,349,26,4,,,,,
,Burrillville,"16,119",244,249,0,3,1,18,45,169,8,5,,,,,
,Central Falls,"19,315",674,681,2,16,29,71,128,324,104,7,,,,,
,Coventry,"34,355",603,613,1,9,9,31,135,391,27,10,,,,,
,Cranston,"80,887","2,632","2,648",0,27,44,76,454,"1,745",286,16,,,,,
,Cumberland,"32,490",538,549,0,10,9,12,82,415,10,11,,,,,
,East Greenwich,"13,212",186,187,0,0,1,4,38,135,8,1,,,,,
,East Providence,"49,683","1,025","1,037",0,13,21,51,191,675,74,12,,,,,
,Glocester,"10,152",94,98,0,0,0,11,25,53,5,4,,,,,
,Johnston,"28,771","1,003","1,021",0,4,10,42,154,698,95,18,,,,,
,Lincoln,"21,325",465,465,0,0,6,1,65,332,61,0,,,,,
,Middletown,"17,688",444,445,1,7,2,13,69,348,4,1,,,,,
,Narragansett,"16,695",356,357,0,4,0,13,56,270,13,1,,,,,
,Newport,"27,013","1,576","1,589",0,13,20,109,307,"1,066",61,13,,,,,
,North Kingstown,"26,864",571,576,1,4,0,12,93,431,30,5,,,,,
,North Providence,"33,073",663,665,0,5,21,44,100,415,78,2,,,,,
,North Smithfield,"10,835",228,232,0,0,0,9,37,178,4,4,,,,,
,Pawtucket,"74,448","3,209","3,241",1,34,78,147,574,"1,917",458,32,,,,,
,Portsmouth,"17,500",253,256,0,2,1,17,39,189,5,3,,,,,
,Providence,"177,162","13,864","14,188",23,109,550,620,"2,186","7,515","2,861",324,,,,,
,Scituate,"10,535",155,157,0,1,0,6,36,106,6,2,,,,,
,Smithfield,"21,034",382,388,0,2,4,9,44,314,9,6,,,,,
,South Kingstown,"28,491",394,405,0,7,3,17,87,268,12,11,,,,,
,Tiverton,"15,572",245,247,0,2,2,5,60,156,20,2,,,,,
,Warren,"11,592",336,341,0,2,1,13,35,277,8,5,,,,,
,Warwick,"87,560","2,931","2,962",2,17,34,76,384,"2,084",334,31,,,,,
,Westerly,"23,435",365,366,1,2,2,5,58,278,19,1,,,,,
,West Warwick,"30,185",726,743,1,9,10,49,148,495,14,17,,,,,
,Woonsocket,"44,107","1,551","1,579",2,51,48,106,327,894,123,28,,,,,
SOUTH CAROLINA,Aiken,"25,938","1,334","1,337",4,9,23,64,163,"1,018",53,3,,,,,
,Anderson,"26,120","1,758",,3,10,49,176,331,"1,051",138,,,,,,
,Beaufort,"13,257",999,"1,001",1,6,40,124,161,614,53,2,,,,,
,Cayce,"12,438",850,851,1,3,17,62,143,571,53,1,,,,,
,Charleston,"98,942","6,997","7,002",13,37,259,541,"1,021","4,254",872,5,,,,,
,Clemson,"12,222",393,395,0,1,9,8,66,264,45,2,,,,,
,Columbia,"119,036","10,307",,10,83,497,949,"1,639","6,213",916,,,,,,
,Conway,"12,067","1,438","1,440",2,6,37,127,235,962,69,2,,,,,
,Easley,"18,175",757,760,0,7,13,35,126,526,50,3,,,,,
,Florence,"30,966","3,635","3,653",3,19,113,252,540,"2,524",184,18,,,,,
,Forest Acres,"10,809",985,,0,0,29,66,116,737,37,,,,,,
,Gaffney,"13,276",842,844,1,11,30,72,195,493,40,2,,,,,
,Goose Creek,"29,901",846,851,1,3,22,52,148,570,50,5,,,,,
,Greenville,"57,331","4,652","4,659",9,45,172,446,622,"3,075",283,7,,,,,
,Greenwood,"22,595","1,828","1,838",2,9,53,325,284,"1,092",63,10,,,,,
,Greer,"17,242",836,846,1,8,32,56,124,556,59,10,,,,,
,Hanahan,"13,244",658,660,0,4,13,36,128,402,75,2,,,,,
,Irmo,"11,301",385,387,0,8,9,42,62,249,15,2,,,,,
,Laurens,"10,151",630,635,1,3,26,140,100,340,20,5,,,,,
,Lexington,"10,025",405,407,0,0,7,26,37,325,10,2,,,,,
,Mauldin,"15,585",533,540,0,5,14,56,63,365,30,7,,,,,
,Mount Pleasant,"48,739","1,796","1,804",0,1,34,55,169,"1,427",110,8,,,,,
,Myrtle Beach,"23,299","4,869",,2,42,158,273,835,"3,106",453,,,,,,
,Newberry,"10,831",575,576,0,3,11,86,50,411,14,1,,,,,
,North Augusta,"17,991",902,903,1,6,29,55,140,610,61,1,,,,,
,North Charleston,"81,530","8,884","8,935",16,103,441,794,"1,357","4,891","1,282",51,,,,,
,North Myrtle Beach,"11,234","1,390","1,391",0,18,39,43,245,942,103,1,,,,,
,Orangeburg,"13,067","1,284","1,287",1,15,33,165,262,739,69,3,,,,,
,Rock Hill,"50,946","3,633","3,638",5,21,115,403,708,"2,173",208,5,,,,,
,Simpsonville,"14,692",684,686,0,4,11,77,79,484,29,2,,,,,
,Spartanburg,"40,615","4,582","4,599",3,22,152,601,727,"2,754",323,17,,,,,
,Summerville,"28,411","1,495",,0,7,35,146,247,973,87,,,,,,
,Sumter,"40,583","3,592",,4,20,120,384,671,"2,095",298,,,,,,
,West Columbia,"13,374","1,498","1,501",1,6,64,247,195,879,106,3,,,,,
SOUTH DAKOTA,Aberdeen,"24,861",573,574,0,10,0,19,114,409,21,1,,,,,
,Brookings,"18,656",482,484,0,3,0,6,76,389,8,2,,,,,
,Mitchell,"14,678",497,501,0,8,2,28,77,367,15,4,,,,,
,Pierre,"13,990",537,537,0,7,1,22,38,446,23,0,,,,,
,Rapid City,"60,098","2,930","2,941",0,53,25,136,515,"2,070",131,11,,,,,
,Sioux Falls,"124,997","4,189","4,242",1,115,52,228,652,"2,946",195,53,,,,,
,Watertown,"20,403",789,791,0,12,2,30,158,547,40,2,,,,,
,Yankton,"13,639",405,405,0,13,2,15,34,322,19,0,,,,,
TENNESSEE,Athens,"13,471","1,166","1,168",0,7,18,186,217,665,73,2,,,,,
,Brentwood,"23,890",558,565,1,1,5,8,68,462,13,7,,,,,
,Bristol,"25,292","1,475","1,477",1,4,13,103,189,"1,083",82,2,,,,,
,Brownsville,"10,952",718,719,0,8,23,145,124,377,41,1,,,,,
,Chattanooga,"158,507","15,867","15,939",24,112,625,"1,638","2,574","9,462","1,432",72,,,,,
,Clarksville,"105,419","5,962","5,982",6,44,82,462,768,"4,330",270,20,,,,,
,Cleveland,"37,898","2,373","2,378",3,29,29,210,340,"1,653",109,5,,,,,
,Collierville,"32,477",651,656,0,2,8,47,63,473,58,5,,,,,
,Columbia,"33,682","2,407","2,417",1,10,57,281,459,"1,496",103,10,,,,,
,Cookeville,"24,377","1,437","1,445",2,6,23,51,214,"1,059",82,8,,,,,
,Dickson,"12,476",930,932,0,10,8,59,100,697,56,2,,,,,
,Dyersburg,"17,783","1,450","1,454",0,15,28,192,207,950,58,4,,,,,
,East Ridge,"21,032","1,286","1,292",0,6,17,77,223,869,94,6,,,,,
,Elizabethton,"13,626",833,836,0,7,1,63,140,586,36,3,,,,,
,Franklin,"42,636","1,136","1,140",0,8,15,55,128,852,78,4,,,,,
,Gallatin,"23,671","1,515","1,522",0,17,23,132,195,"1,083",65,7,,,,,
,Germantown,"38,057",861,866,0,2,10,21,140,652,36,5,,,,,
,Goodlettsville,"14,042","1,081","1,081",0,1,23,51,129,779,98,0,,,,,
,Greeneville,"15,487",954,956,0,13,20,61,113,686,61,2,,,,,
,Hendersonville,"41,391","1,086","1,093",0,12,3,114,189,719,49,7,,,,,
,Jackson,"60,775","4,661","4,676",3,38,182,462,836,"2,788",352,15,,,,,
,Johnson City,"56,522","3,896","3,911",4,20,77,263,538,"2,767",227,15,,,,,
,Kingsport,"45,757","3,248","3,263",2,29,43,295,477,"2,267",135,15,,,,,
,Knoxville,"177,191","11,983","12,121",21,74,553,"1,308","2,135","6,680","1,212",138,,,,,
,La Vergne,"19,041",643,654,0,3,6,103,91,393,47,11,,,,,
,Lawrenceburg,"11,001",963,972,0,10,10,157,125,639,22,9,,,,,
,Lebanon,"20,619","1,388","1,389",2,15,25,140,312,804,90,1,,,,,
,Lewisburg,"10,611",439,441,0,3,4,37,100,279,16,2,,,,,
,Martin,"10,715",315,317,0,5,7,17,34,239,13,2,,,,,
,Maryville,"23,559",809,819,1,12,10,39,156,544,47,10,,,,,
,McMinnville,"12,991",756,758,0,5,9,41,142,502,57,2,,,,,
,Memphis,"662,441","65,846","66,121",151,517,"4,240","5,538","16,340","29,841","9,219",275,,,,,
,Millington,"10,631",748,750,0,4,15,60,144,476,49,2,,,,,
,Morristown,"25,439","1,921","1,938",4,7,33,124,211,"1,426",116,17,,,,,
,Mount Juliet,"12,601",547,548,0,4,4,48,82,380,29,1,,,,,
,Murfreesboro,"70,122","3,688","3,695",0,22,64,387,471,"2,544",200,7,,,,,
,Nashville,"560,596","46,018","46,180",61,403,"2,081","6,138","7,468","25,082","4,785",162,,,,,
,Oak Ridge,"27,907","1,868","1,876",0,17,48,100,326,"1,298",79,8,,,,,
,Red Bank,"12,654",561,563,1,7,8,85,135,292,33,2,,,,,
,Sevierville,"11,980","1,015","1,018",0,4,6,43,152,742,68,3,,,,,
,Shelbyville,"16,411",684,688,1,3,20,68,151,409,32,4,,,,,
,Smyrna,"26,054","1,128","1,135",1,7,11,79,144,826,60,7,,,,,
,Soddy-Daisy,"11,749",402,402,0,1,4,43,93,236,25,0,,,,,
,Springfield,"14,601",953,954,0,15,25,157,75,633,48,1,,,,,
,Tullahoma,"18,335","1,251","1,254",0,2,21,60,270,838,60,3,,,,,
,Union City,"11,083",939,947,0,2,10,84,145,654,44,8,,,,,
TEXAS,Abilene,"121,089","5,394","5,431",4,63,111,266,"1,289","3,432",229,37,,,,,
,Addison,"14,797","1,105","1,112",1,4,24,36,156,763,121,7,,,,,
,Alamo,"15,416",942,945,0,0,17,31,104,736,54,3,,,,,
,Alice,"19,856","1,635","1,652",0,6,4,197,318,"1,059",51,17,,,,,
,Allen,"45,492","1,506","1,509",0,8,14,49,404,989,42,3,,,,,
,Alvin,"22,366",938,944,0,9,24,56,159,623,67,6,,,,,
,Amarillo,"181,355","13,473","13,539",7,109,330,"1,033","2,468","8,566",960,66,,,,,
,Andrews,"10,081",293,293,0,0,0,24,63,195,11,0,,,,,
,Angleton,"18,937",621,621,3,11,2,88,105,378,34,0,,,,,
,Arlington,"347,789","23,594","23,667",14,152,794,"1,242","3,638","15,746","2,008",73,,,,,
,Athens,"11,800",650,653,0,3,16,101,152,344,34,3,,,,,
,Austin,"685,784","42,979","43,131",25,256,"1,174","1,748","6,916","29,725","3,135",152,,,,,
,Azle,"10,027",435,437,0,1,1,35,70,316,12,2,,,,,
,Balch Springs,"20,237","1,364","1,367",3,4,42,83,263,811,158,3,,,,,
,Bay City,"19,498","1,181","1,184",0,0,31,76,256,777,41,3,,,,,
,Baytown,"69,387","3,303","3,325",2,33,79,131,617,"2,159",282,22,,,,,
,Beaumont,"118,934","10,443","10,509",7,172,408,563,"1,722","7,015",556,66,,,,,
,Bedford,"49,251","1,913","1,923",0,18,26,43,316,"1,377",133,10,,,,,
,Beeville,"13,713",470,472,0,7,3,32,92,318,18,2,,,,,
,Bellaire,"16,338",522,524,0,2,34,7,124,329,26,2,,,,,
,Belton,"15,274",637,639,0,0,7,29,130,459,12,2,,,,,
,Benbrook,"21,107",483,488,2,5,9,9,107,308,43,5,,,,,
,Big Spring,"26,356","1,105","1,111",1,16,8,43,318,667,52,6,,,,,
,Bonham,"10,435",558,563,0,6,2,49,105,359,37,5,,,,,
,Borger,"14,938",811,816,1,14,6,25,161,580,24,5,,,,,
,Brenham,"14,108",769,775,0,9,10,80,152,457,61,6,,,,,
,Brownsville,"145,941","12,759","12,785",1,32,181,592,"1,207","10,266",480,26,,,,,
,Brownwood,"19,650","1,578","1,582",0,15,11,193,288,915,156,4,,,,,
,Bryan,"68,583","4,447","4,470",3,60,81,346,858,"2,879",220,23,,,,,
,Burkburnett,"11,413",246,249,0,0,2,14,66,162,2,3,,,,,
,Burleson,"21,909","1,087","1,092",0,6,11,19,157,836,58,5,,,,,
,Canyon,"13,448",214,214,0,2,0,2,29,178,3,0,,,,,
,Carrollton,"114,453","4,289","4,329",1,18,90,148,819,"2,802",411,40,,,,,
,Cedar Hill,"33,521","1,401","1,411",0,17,16,121,358,776,113,10,,,,,
,Cedar Park,"27,209",580,584,0,9,13,42,114,378,24,4,,,,,
,Cleburne,"27,162","1,778","1,784",1,28,14,85,230,"1,333",87,6,,,,,
,Clute,"10,888",662,664,0,8,6,49,106,440,53,2,,,,,
,College Station,"70,911","2,972","2,975",2,37,16,86,354,"2,374",103,3,,,,,
,Colleyville,"20,510",348,350,0,2,2,9,60,269,6,2,,,,,
,Conroe,"38,450","3,044","3,051",2,25,139,187,540,"1,973",178,7,,,,,
,Converse,"12,021",303,303,0,11,2,7,69,191,23,0,,,,,
,Coppell,"37,558",923,924,0,5,9,15,245,620,29,1,,,,,
,Copperas Cove,"30,909","1,275","1,277",0,4,14,118,282,804,53,2,,,,,
,Corinth,"11,829",235,235,0,4,1,4,56,162,8,0,,,,,
,Corpus Christi,"289,803","21,237","21,386",19,243,511,"1,290","3,581","14,147","1,446",149,,,,,
,Corsicana,"25,575","1,652","1,659",0,17,31,42,349,"1,123",90,7,,,,,
,Dallas,"1,241,481","112,040","113,607",196,656,"8,041","8,125","20,351","56,306","18,365","1,567",,,,,
,Deer Park,"29,789",596,598,0,5,12,16,108,409,46,2,,,,,
,Del Rio,"35,374","1,254","1,255",2,2,10,54,190,913,83,1,,,,,
,Denison,"23,787","1,267","1,269",0,0,22,47,240,861,97,2,,,,,
,Denton,"84,121","3,880","3,912",2,65,78,229,673,"2,655",178,32,,,,,
,DeSoto,"39,321","1,901","1,910",2,11,35,92,513,"1,116",132,9,,,,,
,Dickinson,"17,854",594,594,0,6,18,30,130,349,61,0,,,,,
,Donna,"15,426","1,089","1,100",1,4,27,54,180,765,58,11,,,,,
,Dumas,"14,359",582,590,0,9,8,46,74,423,22,8,,,,,
,Duncanville,"37,687","1,928","1,935",5,13,57,104,386,"1,119",244,7,,,,,
,Eagle Pass,"23,411",941,947,0,0,4,32,94,734,77,6,,,,,
,Edinburg,"50,622","5,189","5,228",3,18,45,218,605,"4,051",249,39,,,,,
,El Campo,"11,433",555,557,1,7,3,44,125,350,25,2,,,,,
,El Paso,"588,750","26,998","27,108",14,221,575,"3,082","2,221","18,887","1,998",110,,,,,
,Ennis,"16,759",908,913,1,16,14,51,134,652,40,5,,,,,
,Euless,"48,052","1,714","1,727",1,6,30,70,262,"1,207",138,13,,,,,
,Farmers Branch,"28,732","1,382","1,382",1,4,37,30,224,864,222,0,,,,,
,Flower Mound,"52,958",765,766,2,8,10,30,161,529,25,1,,,,,
,Forest Hill,"13,525",582,582,3,5,27,57,141,281,68,0,,,,,
,Fort Worth,"558,493","44,797","45,065",53,321,"1,648","2,221","9,736","26,881","3,937",268,,,,,
,Freeport,"13,273",598,601,2,13,13,32,169,337,32,3,,,,,
,Friendswood,"30,329",474,481,1,8,11,25,100,301,28,7,,,,,
